timestamp,open_price,high_price,low_price,close_price,volume
2025-06-15 06:00:00,1.4062,1.4062,1.3869,1.3881,1861533
2025-06-15 07:00:00,1.3881,1.3885,1.3712,1.3786,2620008
2025-06-15 08:00:00,1.3787,1.3790,1.3660,1.3737,1910956
2025-06-15 09:00:00,1.3737,1.3792,1.3678,1.3765,1586539
2025-06-15 10:00:00,1.3765,1.3895,1.3762,1.3894,1892173
2025-06-15 11:00:00,1.3895,1.3921,1.3773,1.3813,1616911
2025-06-15 12:00:00,1.3813,1.4128,1.3740,1.3994,3645658
2025-06-15 13:00:00,1.3994,1.4109,1.3407,1.3697,9769081
2025-06-15 14:00:00,1.3698,1.3850,1.3503,1.3795,5860868
2025-06-15 15:00:00,1.3796,1.4005,1.3736,1.3840,4841818
2025-06-15 16:00:00,1.3840,1.3893,1.3694,1.3729,2228806
2025-06-15 17:00:00,1.3729,1.3743,1.3485,1.3630,3225259
2025-06-15 18:00:00,1.3630,1.3959,1.3556,1.3923,4494439
2025-06-15 19:00:00,1.3923,1.4081,1.3821,1.3905,3525971
2025-06-15 20:00:00,1.3906,1.3937,1.3608,1.3673,3195823
2025-06-15 21:00:00,1.3673,1.3739,1.3572,1.3732,1493180
2025-06-15 22:00:00,1.3733,1.4304,1.3732,1.4057,8251249
2025-06-15 23:00:00,1.4058,1.4092,1.3909,1.3968,2087402
2025-06-16 00:00:00,1.3968,1.3977,1.3725,1.3800,2654786
2025-06-16 01:00:00,1.3799,1.3869,1.3656,1.3846,2619776
2025-06-16 02:00:00,1.3844,1.3987,1.3834,1.3852,2383622
2025-06-16 03:00:00,1.3851,1.3877,1.3752,1.3812,1421582
2025-06-16 04:00:00,1.3811,1.4067,1.3789,1.3927,2320445
2025-06-16 05:00:00,1.3928,1.4037,1.3875,1.3974,2016300
2025-06-16 06:00:00,1.3975,1.4007,1.3911,1.3957,1288688
2025-06-16 07:00:00,1.3958,1.4038,1.3929,1.4014,1907664
2025-06-16 08:00:00,1.4015,1.4055,1.3929,1.4015,1861100
2025-06-16 09:00:00,1.4016,1.4018,1.3844,1.3902,2399058
2025-06-16 10:00:00,1.3903,1.3941,1.3820,1.3886,2108486
2025-06-16 11:00:00,1.3886,1.3944,1.3817,1.3915,1408879
2025-06-16 12:00:00,1.3915,1.3915,1.3727,1.3853,2445094
2025-06-16 13:00:00,1.3852,1.4086,1.3848,1.4056,2301076
